,age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,poutcome,y
175,32,technician,married,secondary,no,484,yes,no,cellular,12,668,2,463,1,success,yes
176,48,entrepreneur,married,tertiary,yes,-392,no,no,cellular,31,725,4,-1,0,unknown,yes
177,30,management,single,tertiary,no,502,no,no,cellular,11,463,3,95,6,success,yes
178,30,unemployed,divorced,secondary,no,7105,no,no,cellular,22,321,2,-1,0,unknown,yes
179,56,housemaid,divorced,primary,yes,1238,no,no,unknown,5,1558,1,-1,0,unknown,yes
180,77,retired,married,secondary,no,4112,no,no,telephone,29,426,1,184,3,success,yes
181,33,blue-collar,single,secondary,no,697,no,no,cellular,6,860,2,-1,0,unknown,yes
182,30,services,single,secondary,no,-158,yes,no,cellular,12,426,1,370,2,failure,yes
183,49,blue-collar,married,secondary,no,3728,yes,no,cellular,11,1060,2,-1,0,unknown,yes
184,33,management,married,tertiary,no,5878,no,no,cellular,23,438,1,430,2,failure,yes
185,44,technician,married,tertiary,no,1933,no,no,cellular,5,462,1,-1,0,unknown,yes
186,27,management,single,tertiary,yes,-713,yes,no,unknown,4,525,2,-1,0,unknown,yes
187,57,management,divorced,tertiary,no,3287,no,no,cellular,30,277,2,337,1,success,yes
188,19,student,single,unknown,no,108,no,no,cellular,10,168,1,182,2,success,yes
189,36,technician,single,tertiary,no,197,no,no,cellular,30,260,1,-1,0,unknown,yes
190,30,services,married,secondary,no,5,no,yes,cellular,10,829,5,-1,0,unknown,yes
191,28,management,single,tertiary,no,939,yes,no,unknown,27,740,1,-1,0,unknown,yes
192,36,management,single,tertiary,no,2646,no,no,cellular,13,169,1,182,10,success,yes
193,40,services,married,primary,no,-9,yes,no,unknown,15,920,2,-1,0,unknown,yes
194,67,retired,divorced,secondary,no,704,no,no,cellular,8,186,2,97,1,success,yes
195,32,technician,married,secondary,no,696,yes,no,unknown,2,815,1,-1,0,unknown,yes
196,51,admin.,single,secondary,no,726,yes,no,cellular,27,89,8,-1,0,unknown,yes
197,41,services,single,secondary,no,92,no,no,cellular,21,372,1,-1,0,unknown,yes
198,63,retired,married,secondary,no,4752,no,no,cellular,2,233,2,-1,0,unknown,yes
199,29,management,single,tertiary,no,985,yes,no,cellular,23,396,2,-1,0,unknown,yes
200,72,retired,married,primary,no,4657,no,no,cellular,22,305,3,309,5,success,yes
201,38,management,married,tertiary,no,1308,yes,no,cellular,2,626,1,-1,0,unknown,yes
202,30,technician,single,secondary,no,3286,yes,no,cellular,9,743,1,-1,0,unknown,yes
203,33,services,married,secondary,no,478,no,no,cellular,30,475,2,-1,0,unknown,yes
204,31,services,divorced,primary,no,459,yes,no,cellular,7,623,1,293,1,success,yes
205,22,student,single,secondary,no,381,no,no,cellular,12,227,1,-1,0,unknown,yes
206,34,services,married,secondary,no,2918,no,yes,cellular,4,246,1,196,2,success,yes
207,39,management,single,tertiary,no,307,no,no,cellular,22,182,2,-1,0,unknown,yes
208,71,retired,married,secondary,no,2850,no,no,cellular,17,185,1,-1,0,unknown,yes
209,23,student,single,secondary,no,381,no,no,cellular,23,696,1,189,2,other,yes
210,60,retired,married,secondary,no,2722,no,no,cellular,12,506,2,-1,0,unknown,yes
211,54,technician,married,secondary,no,3994,no,yes,cellular,16,299,2,-1,0,unknown,yes
212,26,student,single,secondary,no,100,no,no,cellular,26,445,1,-1,0,unknown,yes
213,35,management,single,tertiary,no,1599,yes,yes,cellular,13,407,1,-1,0,unknown,yes
214,58,retired,divorced,primary,no,2538,yes,no,cellular,19,680,2,111,6,failure,yes
215,49,admin.,single,tertiary,no,228,yes,no,cellular,3,252,2,93,2,success,yes
216,27,blue-collar,single,secondary,no,3792,no,no,cellular,22,504,1,183,2,success,yes
217,34,management,married,tertiary,no,703,yes,no,cellular,14,342,1,-1,0,unknown,yes
218,49,blue-collar,married,primary,no,128,no,no,cellular,12,696,2,-1,0,unknown,yes
219,38,management,married,tertiary,no,1199,no,no,cellular,3,482,1,-1,0,unknown,yes
220,60,blue-collar,divorced,secondary,no,0,yes,no,unknown,29,1207,1,-1,0,unknown,yes
221,36,management,married,tertiary,no,4069,no,no,cellular,21,517,1,-1,0,unknown,yes
222,36,management,married,tertiary,no,203,no,no,cellular,23,608,3,179,2,success,yes
223,41,technician,married,tertiary,no,1517,no,no,cellular,8,193,3,-1,0,unknown,yes
224,32,technician,single,secondary,no,1732,yes,no,cellular,14,1871,3,-1,0,unknown,yes
225,30,management,married,secondary,no,850,no,no,cellular,12,507,2,-1,0,unknown,yes
226,37,management,single,tertiary,no,62,yes,no,cellular,2,428,2,272,8,success,yes
227,42,admin.,single,secondary,no,1451,yes,no,cellular,4,251,4,-1,0,unknown,yes
228,26,entrepreneur,single,tertiary,no,725,no,no,cellular,5,1916,2,189,29,other,yes
229,42,blue-collar,divorced,primary,no,213,yes,no,cellular,7,434,3,-1,0,unknown,yes
230,59,blue-collar,divorced,primary,no,989,no,no,cellular,20,125,2,-1,0,unknown,yes
231,47,admin.,married,secondary,no,1210,no,no,cellular,26,604,1,91,4,failure,yes
232,60,retired,married,primary,no,1542,yes,no,unknown,14,930,1,-1,0,unknown,yes
233,45,blue-collar,divorced,primary,no,-311,yes,no,unknown,23,1030,1,-1,0,unknown,yes
234,26,student,single,secondary,no,655,no,no,cellular,16,190,1,-1,0,unknown,yes
235,31,management,single,tertiary,no,37,no,no,cellular,8,669,2,-1,0,unknown,yes
236,33,management,married,tertiary,no,1047,no,no,cellular,8,512,4,-1,0,unknown,yes
237,60,admin.,married,secondary,no,3735,no,no,cellular,22,190,1,188,9,success,yes
238,33,admin.,single,tertiary,no,146,no,no,cellular,22,380,1,91,3,success,yes
239,46,services,divorced,secondary,no,4329,no,no,cellular,21,534,2,-1,0,unknown,yes
240,44,technician,divorced,secondary,no,14,no,no,cellular,13,167,1,92,1,success,yes
241,51,admin.,single,secondary,no,1994,no,no,unknown,18,771,2,-1,0,unknown,yes
242,31,management,married,tertiary,no,6138,no,no,cellular,16,154,2,119,5,failure,yes
243,40,technician,divorced,tertiary,no,4736,yes,no,cellular,11,285,2,-1,0,unknown,yes
244,54,technician,divorced,secondary,no,859,no,yes,cellular,21,710,1,-1,0,unknown,yes
245,28,technician,single,tertiary,no,676,no,no,cellular,5,1138,2,-1,0,unknown,yes
246,59,retired,married,primary,no,0,no,no,cellular,5,493,2,-1,0,unknown,yes
247,32,technician,single,tertiary,no,1625,no,no,cellular,22,796,1,109,1,failure,yes
248,61,self-employed,divorced,tertiary,no,6,yes,no,cellular,14,133,2,-1,0,unknown,yes
249,40,technician,married,tertiary,no,206,no,no,cellular,23,499,6,185,4,success,yes
250,31,self-employed,single,tertiary,no,3343,no,no,cellular,3,365,1,94,1,success,yes
251,30,housemaid,single,tertiary,no,19,no,no,cellular,4,139,1,92,5,success,yes
252,29,self-employed,single,tertiary,no,814,no,no,unknown,13,461,1,-1,0,unknown,yes
253,51,management,single,tertiary,no,297,yes,no,cellular,15,415,4,375,1,failure,yes
254,26,entrepreneur,single,secondary,no,101,yes,no,cellular,5,810,1,268,1,failure,yes
255,36,management,single,unknown,no,62,no,no,cellular,13,311,1,91,2,success,yes
256,38,management,married,tertiary,no,4174,no,no,cellular,23,336,2,184,5,failure,yes
257,49,management,married,secondary,no,249,no,no,telephone,6,234,1,-1,0,unknown,yes
258,58,retired,married,tertiary,no,0,no,no,cellular,13,641,4,-1,0,unknown,yes
259,48,management,single,tertiary,no,334,yes,no,cellular,28,600,2,92,12,success,yes
260,29,services,single,secondary,no,1934,no,no,cellular,29,271,1,-1,0,unknown,yes
261,35,management,married,tertiary,no,8000,no,no,cellular,13,331,1,90,3,success,yes
262,36,management,single,tertiary,no,436,no,no,cellular,13,567,1,595,2,failure,yes
263,71,retired,divorced,tertiary,yes,1236,yes,no,cellular,14,335,4,-1,0,unknown,yes
264,33,blue-collar,single,secondary,no,76,yes,no,unknown,4,1141,4,-1,0,unknown,yes
265,29,admin.,single,secondary,no,265,yes,no,cellular,25,414,1,184,1,failure,yes
266,25,technician,single,secondary,no,1231,yes,no,cellular,27,412,5,-1,0,unknown,yes
267,39,management,single,tertiary,no,5047,no,no,cellular,29,218,4,-1,0,unknown,yes
268,31,unemployed,married,tertiary,no,330,no,no,cellular,13,309,1,181,3,success,yes
269,22,student,single,secondary,no,216,no,no,cellular,8,363,1,187,1,success,yes
270,35,management,married,secondary,no,724,yes,no,cellular,14,287,2,415,1,failure,yes
271,40,blue-collar,married,secondary,no,188,yes,yes,unknown,20,570,2,-1,0,unknown,yes
272,37,blue-collar,married,secondary,no,125,no,no,unknown,26,679,2,-1,0,unknown,yes
273,35,admin.,married,secondary,no,304,no,no,cellular,18,237,1,-1,0,unknown,yes
274,36,technician,married,tertiary,no,911,yes,yes,cellular,25,117,2,21,3,failure,yes
275,33,technician,married,secondary,no,303,yes,no,cellular,3,355,1,301,5,success,yes
276,30,technician,single,tertiary,no,411,no,no,cellular,22,127,3,149,2,failure,yes
277,43,management,single,tertiary,no,483,no,no,cellular,19,950,6,-1,0,unknown,yes
278,32,technician,married,secondary,no,348,yes,no,cellular,17,926,1,-1,0,unknown,yes
279,29,technician,single,tertiary,no,0,yes,no,cellular,7,347,2,337,6,failure,yes
280,42,unemployed,divorced,secondary,no,1713,yes,no,unknown,30,855,2,-1,0,unknown,yes
281,29,blue-collar,single,secondary,no,734,yes,yes,cellular,30,259,1,296,1,other,yes
282,51,management,single,secondary,no,1610,yes,no,unknown,16,1248,3,-1,0,unknown,yes
283,30,blue-collar,single,secondary,no,2145,yes,no,cellular,18,727,2,-1,0,unknown,yes
284,32,self-employed,married,secondary,no,409,no,no,cellular,3,115,2,86,2,success,yes
285,38,admin.,married,secondary,no,0,yes,no,cellular,8,210,1,92,3,success,yes
286,35,management,single,tertiary,no,992,no,yes,cellular,1,238,1,-1,0,unknown,yes
287,59,technician,married,secondary,no,10925,no,no,cellular,21,100,1,-1,0,unknown,yes
288,61,retired,married,tertiary,no,32685,no,no,cellular,2,1447,2,-1,0,unknown,yes
289,33,unemployed,married,secondary,no,1211,no,no,cellular,11,535,1,188,1,success,yes
290,46,management,married,unknown,no,2466,no,no,telephone,1,216,3,370,1,failure,yes
291,31,technician,single,secondary,no,846,no,no,cellular,26,405,3,205,2,failure,yes
292,43,services,married,secondary,no,-236,yes,no,cellular,28,745,7,-1,0,unknown,yes
293,35,blue-collar,married,secondary,no,860,yes,no,unknown,5,884,4,-1,0,unknown,yes
294,72,retired,married,tertiary,no,3561,no,no,telephone,15,511,3,184,7,success,yes
295,20,student,single,secondary,no,215,no,no,cellular,24,175,1,92,6,success,yes
296,52,blue-collar,married,secondary,no,2087,yes,no,cellular,31,267,1,474,1,failure,yes
297,34,management,married,tertiary,no,606,no,no,cellular,20,97,1,-1,0,unknown,yes
298,44,entrepreneur,married,tertiary,no,624,no,no,telephone,14,552,2,-1,0,unknown,yes
299,65,retired,married,tertiary,no,2416,no,no,cellular,17,221,2,-1,0,unknown,yes
300,28,services,single,secondary,no,5090,yes,no,unknown,6,1297,3,-1,0,unknown,yes
301,44,self-employed,single,tertiary,no,2734,yes,no,cellular,12,897,4,-1,0,unknown,yes
302,27,student,single,unknown,no,132,no,no,cellular,14,276,1,-1,0,unknown,yes
303,35,unemployed,single,secondary,no,127,yes,no,telephone,14,162,1,-1,0,unknown,yes
304,54,technician,divorced,secondary,no,2156,yes,no,cellular,3,261,1,195,4,failure,yes
305,31,technician,single,tertiary,no,1109,no,no,cellular,5,642,1,167,2,failure,yes
306,23,self-employed,single,tertiary,no,780,no,no,cellular,16,393,1,183,3,success,yes
307,60,unemployed,married,secondary,no,1047,no,no,cellular,27,173,3,279,4,success,yes
308,32,management,single,tertiary,no,2667,yes,no,cellular,12,971,2,-1,0,unknown,yes
309,25,admin.,married,tertiary,no,906,no,no,cellular,26,253,1,-1,0,unknown,yes
310,52,unemployed,married,secondary,no,94,no,no,cellular,10,293,3,190,10,failure,yes
311,32,admin.,single,secondary,no,620,yes,no,unknown,26,1234,3,-1,0,unknown,yes
312,30,technician,single,tertiary,no,880,yes,yes,unknown,19,967,6,-1,0,unknown,yes
313,37,technician,divorced,secondary,no,141,yes,no,cellular,6,848,1,364,3,failure,yes
314,60,retired,divorced,secondary,no,545,yes,no,unknown,6,1030,1,-1,0,unknown,yes
315,28,technician,single,tertiary,no,4987,no,no,cellular,9,253,21,-1,0,unknown,yes
316,53,housemaid,married,primary,no,104,no,yes,unknown,5,701,1,-1,0,unknown,yes
